,EWMA(0.94),GARCH11_h1,EGARCH11_h1,GJR11_h1,HAR_RV_h1,realized_vol,realized_var
2012-10-25,0.11842569117184805,,,,0.11647516234089299,0.11399771025587334,5.156935691897639e-05
2012-10-26,0.11537162302289525,,,,0.11565239287847011,0.10805666465092198,4.6334296728102424e-05
2012-10-31,0.11187856916308055,,,,0.1091872661026198,0.1073306958294628,4.571380264776452e-05
2012-11-01,0.10847029724168504,,,,0.10843538940572961,0.11373033174119643,5.132773157921663e-05
2012-11-02,0.11269592667480809,,,,0.11548909238150808,0.11721727002567499,5.452336663600001e-05
2012-11-05,0.11464973849183897,,,,0.11924279536138231,0.11632244103630794,5.3694088447005306e-05
2012-11-06,0.11144145612199796,,,,0.11821918993196957,0.11692382733194295,5.4250719833134964e-05
2012-11-07,0.11221741033047687,,,,0.11874943355930566,0.13917797049288835,7.686709313698133e-05
2012-11-08,0.1406529453849514,,,,0.1425838198647111,0.14336597142963298,8.156270541254896e-05
2012-11-09,0.14425242546649017,,,,0.1466751088567459,0.14122355599913183,7.914322527396795e-05
2012-11-12,0.13989870510881072,,,,0.1439280733321687,0.14062114120971195,7.846946569492756e-05
2012-11-13,0.1356720976496335,,,,0.14287789577871696,0.14050110945941635,7.833556253701148e-05
2012-11-14,0.13223203673036737,,,,0.14236903730405154,0.14621269825534672,8.483394099646457e-05
2012-11-15,0.13866874530826964,,,,0.14840155891008186,0.14102977250820037,7.892617751474105e-05
2012-11-16,0.13460548609556258,,,,0.14263513235826103,0.1361152223400946,7.35212450503706e-05
2012-11-19,0.1319025697584093,,,,0.13721410063321127,0.15618959536846044,9.680630833874364e-05
2012-11-20,0.14974934112988741,,,,0.15876091361241823,0.15648359087551703,9.717108814800076e-05
2012-11-21,0.14519705425680762,,,,0.15875083877316185,0.1476687642603869,8.653199975472108e-05
2012-11-23,0.1409606337876218,,,,0.14901798190285293,0.15637646831304527,9.70380946113526e-05
2012-11-26,0.14644740628879052,,,,0.15820953584981687,0.14890164772172118,8.798293926287124e-05
2012-11-27,0.14222614679027656,,,,0.14985027846611515,0.14963389873629795,8.885041131358995e-05
2012-11-28,0.1393219670267632,,,,0.15064898541156138,0.15201664248242916,9.170261742710587e-05
2012-11-29,0.13863130156543915,,,,0.15320298279649816,0.15284083491862174,9.269968578818007e-05
2012-11-30,0.13562112904653895,,,,0.15395203805564756,0.1528380828495579,9.269634749654098e-05
2012-12-03,0.13149212163401067,,,,0.1538859785123568,0.14920440652093922,8.834109097327655e-05
2012-12-04,0.12892318708019002,,,,0.14983808371928276,0.14606742784705523,8.466545030894714e-05
2012-12-05,0.12511678056291667,,,,0.14639433029897073,0.14601907137060294,8.460940160290968e-05
2012-12-06,0.1214999947557034,,,,0.14634402696896723,0.14379070990922288,8.204669942935828e-05
2012-12-07,0.11853238536224059,,,,0.14396116032829614,0.11823476714336938,5.547404825970944e-05
2012-12-10,0.11552144441595884,,,,0.11653953023713114,0.10843186284072681,4.665662253615155e-05
2012-12-11,0.11201415483421084,,,,0.10636900440678591,0.10992186244081176,4.7947681914510875e-05
2012-12-12,0.11176092034631976,,,,0.10851497212751432,0.10996195388426105,4.798266389700141e-05
2012-12-13,0.10837283605026647,,,,0.10905654745568308,0.11194191923453026,4.972616381710356e-05
2012-12-14,0.10775890088151169,,,,0.11165347628809327,0.0995542263762738,3.932953964039036e-05
2012-12-17,0.10547430405707908,,,,0.0984628790632981,0.10380238190375701,4.275767654322785e-05
2012-12-18,0.11189861684035189,,,,0.10324146783752053,0.10753692595729529,4.58896446204159e-05
2012-12-19,0.11671333676869938,,,,0.10741245334519553,0.09413333428145441,3.5163034218031907e-05
2012-12-20,0.11681354982821701,,,,0.0930907811994171,0.09499769704169701,3.581175572708749e-05
2012-12-21,0.11542999614070501,,,,0.09436281036041845,0.1024980262109015,4.168986260766131e-05
2012-12-24,0.11739583267457289,,,,0.1026159346562416,0.09362416789926889,3.4783669900120994e-05
2012-12-26,0.11445029770849788,,,,0.09319257908595753,0.09469076081570166,3.558071501530326e-05
2012-12-27,0.1121726518996944,,,,0.09463516568936288,0.09271444700070657,3.4110986835900096e-05
2012-12-28,0.10888043202993866,,,,0.09262606979692715,0.09704253902143481,3.737005706240752e-05
2012-12-31,0.11370635523331955,,,,0.09742903413907708,0.11260179562323495,5.031414435546338e-05
2013-01-02,0.1282499974486083,,,,0.1143340915357366,0.1417606753330643,7.974638520193043e-05
2013-01-03,0.15857078900440166,,,,0.14567744010609562,0.1404972429292913,7.833125107433449e-05
2013-01-04,0.15399144345187496,,,,0.14370688219360633,0.14028356664053374,7.809317091027406e-05
2013-01-07,0.1502695168642386,,,,0.14290523482145628,0.1412548983538888,7.917835836891848e-05
2013-01-08,0.14607976788049043,,,,0.14344210449450343,0.14204427017938312,8.006577258251421e-05
2013-01-09,0.14207209817281335,,,,0.14395610685294521,0.1419894175430159,8.000394719922582e-05
2013-01-10,0.13809730065508283,,,,0.1438914840678651,0.14363974269600638,8.187450667370998e-05
2013-01-11,0.13738477515825656,,,,0.14559285161662772,0.14263286077263904,8.073068639756758e-05
2013-01-14,0.1331997425385848,,,,0.1443865708646376,0.14279735465020335,8.091700196466649e-05
2013-01-15,0.12916902826845814,,,,0.14447105809841748,0.14013937375838817,7.793271459283022e-05
2013-01-16,0.12526195083983743,,,,0.1415244279821114,0.1389048218898321,7.656567279462689e-05
2013-01-17,0.1214471183622503,,,,0.14015243668551328,0.13542723899343906,7.27799089737542e-05
2013-01-18,0.12038043653283598,,,,0.13637640691724076,0.13113129886546673,6.823578389739822e-05
2013-01-22,0.11703403812941435,,,,0.1317660170911257,0.1278326786584664,6.484600687697908e-05
2013-01-23,0.11538046241295838,,,,0.12830357067527914,0.12707272033914335,6.407728672377037e-05
2013-01-24,0.11204001169387202,,,,0.1275656986488732,0.12100903733619804,5.810788538505305e-05
2013-01-25,0.10863180305225247,,,,0.12111113429787493,0.12000502228072285,5.714764036744757e-05
2013-01-28,0.10755521100220337,,,,0.12017209500364127,0.11829182038408212,5.5527598292777556e-05
2013-01-29,0.10438279646433778,,,,0.11841102864326498,0.11741922958033221,5.471141061602683e-05
2013-01-30,0.1023466949861992,,,,0.11754197669447686,0.10929508260160162,4.740244079718619e-05
2013-01-31,0.10039511484563306,,,,0.10885712395033123,0.09912014191156995,3.898731163718161e-05
2013-02-01,0.09780871364483645,,,,0.0980068868643629,0.06198077382592654,1.5244509222462938e-05
2013-02-04,0.10284092965038447,,,,0.05809198888108442,0.07560553540037962,2.2683321361817677e-05
2013-02-05,0.10896617788820079,,,,0.0738717819003466,0.0809407206875822,2.599762010089363e-05
2013-02-06,0.11263858128164331,,,,0.08028434289525943,0.07953412618402068,2.5101893761332243e-05
2013-02-07,0.10924382051362776,,,,0.07924328725174705,0.0785901642312725,2.4509579023406288e-05
2013-02-08,0.10604091028197603,,,,0.07859684728712457,0.07966125773409273,2.518220628483154e-05
2013-02-11,0.10505034474636304,,,,0.07968375498987366,0.07682225840854838,2.3419283281705487e-05
2013-02-12,0.10185298996758431,,,,0.0767068864313393,0.07661214885129494,2.329135456989275e-05
2013-02-13,0.09895734340287392,,,,0.07667313054678217,0.07622594534241539,2.3057121997400388e-05
2013-02-14,0.09600033178600069,,,,0.07643286166628865,0.07619215768809476,2.3036686083998002e-05
2013-02-15,0.09314436986483465,,,,0.07656620896815365,0.07658833569617395,2.3276877637737433e-05
2013-02-19,0.09042379931103309,,,,0.07717009177923906,0.07748148682561344,2.3822939685348054e-05
2013-02-20,0.09235151432833305,,,,0.07826580788465852,0.09170403939494852,3.3371550957739165e-05
2013-02-21,0.101957311334964,,,,0.09369672756622072,0.09333373592413667,3.456819945062095e-05
2013-02-22,0.10165515840836145,,,,0.09533944808481709,0.09872607512024917,3.8677928208924926e-05
2013-02-25,0.10556379172995002,,,,0.10100659577262022,0.12066054524508199,5.777367928111301e-05
2013-02-26,0.12670691551454027,,,,0.12444838230607393,0.12145955843987413,5.854136641432222e-05
2013-02-27,0.12567845653939877,,,,0.12474136906436284,0.12892494140885435,6.59588909415735e-05
2013-02-28,0.13121510419023547,,,,0.13240597938250792,0.12861674298388803,6.56439149832679e-05
2013-03-01,0.12744979516713276,,,,0.13158564578171095,0.1280591729935996,6.507599915795502e-05
2013-03-04,0.12422860311888213,,,,0.13057152245943426,0.12851232671613452,6.553737348410517e-05
2013-03-05,0.12220162820501712,,,,0.1309172994399567,0.1273994193746839,6.44071907024071e-05
2013-03-06,0.12345091814920899,,,,0.1295542801528796,0.11934957361626446,5.652508223168305e-05
2013-03-07,0.11980687661360238,,,,0.12073164194457323,0.11530637997059173,5.2760163737787614e-05
2013-03-08,0.1163702241275185,,,,0.11638384140070031,0.11578560707921265,5.3199630185324676e-05
2013-03-11,0.11403189660687318,,,,0.11699676542830167,0.11566360214253356,5.3087574843596404e-05
2013-03-12,0.11153516555023874,,,,0.11695651783712452,0.11543909863338424,5.288168846542941e-05
2013-03-13,0.10848943646275741,,,,0.11679193544741562,0.11532782745313179,5.277979279785451e-05
2013-03-14,0.10532769533115738,,,,0.11664819174113637,0.11617012252051634,5.355356097790387e-05
2013-03-15,0.10418515890627802,,,,0.1174758746212103,0.11655514648605224,5.390913560470276e-05
2013-03-18,0.10114175352896221,,,,0.11780314139774938,0.11897409137145434,5.6169977847869704e-05
2013-03-19,0.10039414563118851,,,,0.12031727102395766,0.11930877955156821,5.6486447928907535e-05
2013-03-20,0.09775485730383289,,,,0.12054147395173383,0.1189752338238061,5.617105660091007e-05
2013-03-21,0.09856616180407322,,,,0.12003903946522902,0.11399576413807498,5.156759619612547e-05
2013-03-22,0.10121885640156944,,,,0.11454196272550997,0.11315693289148913,5.081147405321022e-05
2013-03-25,0.10294871237062958,,,,0.11362473643854057,0.11116104705420958,4.903483484995316e-05
2013-03-26,0.1011309074868327,,,,0.11150773140965974,0.08525878409031333,2.8845477240312162e-05
2013-03-27,0.10283202395781968,,,,0.083607474466134,0.08412400924334672,2.8082733853867786e-05
2013-03-28,0.09969934624753515,,,,0.08292191800540305,0.07532811035848595,2.2517159564207294e-05
2013-04-01,0.09739580182436636,,,,0.07388569439234481,0.07684431388850081,2.343273244839063e-05
2013-04-02,0.09567935084911784,,,,0.0761695102366479,0.07750502164163632,2.3837414205041724e-05
2013-04-03,0.09471865799423382,,,,0.07746670655942993,0.08640586080047409,2.9626876113773425e-05
2013-04-04,0.10001867589924615,,,,0.08730485753451056,0.082277458971351,2.6863413709453763e-05
2013-04-05,0.09824234097043075,,,,0.08288640570873759,0.08416243902711823,2.810839739283093e-05
2013-04-08,0.09684395229068304,,,,0.08491723577564321,0.08688474044602863,2.9956183025292712e-05
2013-04-09,0.09748689610612528,,,,0.08782782125892413,0.08650803765250244,2.9696986422566583e-05
2013-04-10,0.09546483270197566,,,,0.08734460423248384,0.09486335835784417,3.5710542694161753e-05
2013-04-11,0.10396059975570035,,,,0.09643281577811028,0.09440141668309253,3.5363601078471664e-05
2013-04-12,0.10159323149123017,,,,0.09579537507892637,0.09527508032234704,3.602119416837174e-05
