,returns,weight,pnl,equity,var_1d,abs_return
2017-07-10,0.001073279060604726,1.906941374765495,0.002046680247336595,1.8184015537563434,0.01154541552463559,0.002046680247336595
2017-07-11,-0.0007427942812663346,1.824335392936746,-0.0013551058969851865,1.815937427087761,0.012068192415730239,0.0013551058969851865
2017-07-12,0.007486481314517235,1.8274176080794056,0.013680927776706249,1.8407811358747665,0.012047837590843012,0.013680927776706249
2017-07-13,0.0016787502547890298,1.8362571768575533,0.0030826172035078024,1.8464555594721068,0.011989840437527884,0.0030826172035078024
2017-07-14,0.004653573010296341,1.743996995847601,0.008115817349914296,1.8614410555375163,0.012624121833470975,0.008115817349914296
2017-07-17,-0.00012216476404702803,1.7811588139271868,-0.00021759484623369907,1.8610360155572634,0.012360734135910415,0.00021759484623369907
2017-07-18,0.0005292016088533913,1.7545715933015884,0.0009285221100236587,1.8627640286452587,0.012548037730030171,0.0009285221100236587
2017-07-19,0.005399545492827507,1.7662700163359542,0.009537055305823168,1.8805293122081466,0.012464929115685017,0.009537055305823168
2017-07-20,0.00044521769353256246,1.7683267545401309,0.0007872903590682788,1.8820098348055931,0.012450431175268315,0.0007872903590682788
2017-07-21,-0.0008909883473071645,1.8367474892951232,-0.0016365206099076457,1.878929886922885,0.011986639797306372,0.0016365206099076457
2017-07-24,-0.00024282507190687141,1.9531561340559234,-0.0004742752786974766,1.8780387569271115,0.011272232756460781,0.0004742752786974766
2017-07-25,0.002427724689277433,1.94497351033,0.004721860211018738,1.886906593408197,0.011319655736109227,0.004721860211018738
2017-07-26,4.055373184197464e-05,1.942361194256659,7.876999501214216e-05,1.8870552250311483,0.011334879742185729,7.876999501214216e-05
2017-07-27,-0.0009300352579115767,1.9329650666969473,-0.0017977256643395634,1.8836628174230838,0.011389978500961316,0.0017977256643395634
2017-07-28,-0.0011738503582066073,1.9298722521091782,-0.002265381234431351,1.8793956030244976,0.011408232088277083,0.002265381234431351
2017-07-31,-0.000567111413357857,2.0,-0.001134222826715714,1.877263949631118,0.01029921068784328,0.001134222826715714
2017-08-01,0.0022262315902512597,2.0,0.0044524631805025194,1.8856223982469353,0.009403958927536638,0.0044524631805025194
2017-08-02,0.0004853882966227019,2.0,0.0009707765932454038,1.8874529163348528,0.00785694728119144,0.0009707765932454038
2017-08-03,-0.001941975692616893,2.0,-0.003883951385233786,1.8801221409658906,0.007956742303302003,0.003883951385233786
2017-08-04,0.0018204560629602184,2.0,0.003640912125920437,1.886967500467145,0.0080396861973777,0.003640912125920437
2017-08-07,0.0018575591177780737,2.0,0.0037151182355561474,1.8939778078380323,0.008216142422275712,0.0037151182355561474
2017-08-08,-0.0024640332582386293,2.0,-0.004928066516477259,1.8846441592202747,0.006026293141200787,0.004928066516477259
2017-08-09,-4.029831946983364e-05,2.0,-8.059663893966729e-05,1.8844922632354444,0.0053767104952444885,8.059663893966729e-05
2017-08-10,-0.014215888301616353,2.0,-0.028431776603232706,1.8309128001966137,0.0057784309975369074,0.028431776603232706
2017-08-11,0.001475623094946421,2.0,0.002951246189892842,1.83631627462222,0.005792917256652634,0.002951246189892842
2017-08-14,0.009864413549403928,2.0,0.019728827098807855,1.8725446409029687,0.00931380181477244,0.019728827098807855
2017-08-15,-0.0001217501882280203,2.0,-0.0002435003764560406,1.872088675577978,0.009237679517479717,0.0002435003764560406
2017-08-16,0.0017429384177418683,2.0,0.0034858768354837366,1.8786145461261468,0.010367649363513162,0.0034858768354837366
2017-08-17,-0.015713622386720694,2.0,-0.03142724477344139,1.8195748669500929,0.010266189716585649,0.03142724477344139
2017-08-18,-0.0015644874348321736,2.0,-0.003128974869664347,1.8138814629179332,0.010197985558895102,0.003128974869664347
2017-08-21,0.0007825857164300842,1.6980412365360675,0.0013288628176224046,1.8162918625495794,0.012965780853296634,0.0013288628176224046
2017-08-22,0.010402629064552471,1.7118748758258155,0.017807999338142783,1.8486363868357365,0.012861004541682212,0.017807999338142783
2017-08-23,-0.0035919762415712597,1.7165339092164698,-0.006165749019756997,1.837238158845717,0.012826097075377392,0.006165749019756997
2017-08-24,-0.0023331279329781296,1.557479781498658,-0.003633799583263193,1.8305620035897483,0.01413593345757757,0.003633799583263193
2017-08-25,0.0023331279329781296,1.5658621338084617,0.0036533566835812597,1.8372496995202727,0.014060261166951856,0.0036533566835812597
2017-08-28,4.102797782845613e-05,1.566749521333456,6.428056462401329e-05,1.8373677989683133,0.014052297609160502,6.428056462401329e-05
2017-08-29,0.0011442384910926862,1.560597267577382,0.0017856954626561125,1.8406487783101613,0.014107695181963916,0.0017856954626561125
2017-08-30,0.004726284069346498,1.5652546626586272,0.007397838176593796,1.854265600112045,0.014065717916720328,0.007397838176593796
2017-08-31,0.005998233706479894,1.5634321769512656,0.009377831581584319,1.871654590617421,0.01408211425948781,0.009377831581584319
2017-09-01,0.0014130558294400686,1.5422628127330051,0.0021793034580610098,1.8757334939390493,0.014275407778115794,0.0021793034580610098
2017-09-05,-0.0072080158755643,1.5024882452703807,-0.010829959124757652,1.8554193768707505,0.014653313010662198,0.010829959124757652
2017-09-06,0.0034082805328639054,1.5074652447653065,0.005137864447702516,1.864952270122753,0.014604934096649883,0.005137864447702516
2017-09-07,-0.00012199822323299969,1.4602547627442504,-0.00017814848652232404,1.8646200316983943,0.01507711607213806,0.00017814848652232404
2017-09-08,-0.001175136598371651,1.4551091410863455,-0.001709952006315703,1.861431620934175,0.015130432440518248,0.001709952006315703
2017-09-11,0.01060948187165689,1.4638528101034323,0.01553071985156636,1.8903409939617508,0.015040057580127783,0.01553071985156636
2017-09-12,0.0033649219049980417,1.4650948669291333,0.004929929810630031,1.8996602423801388,0.015027307138775486,0.004929929810630031
2017-09-13,0.00047995015321067314,1.593495488558212,0.0007647984038740303,1.9011130995014143,0.013816437329676948,0.0007647984038740303
2017-09-14,-0.00031994117275946365,1.5850760309591472,-0.0005071310842579854,1.9001489859539669,0.0138898261804294,0.0005071310842579854
2017-09-15,0.0013453032298516021,1.6919923091279767,0.0022762427183539375,1.9044741862470325,0.01301213394056996,0.0022762427183539375
2017-09-18,0.0021245431258032355,1.6860915735679398,0.003582174262098527,1.9112963446598377,0.01305767189512637,0.003582174262098527
2017-09-19,0.0010006691955348757,1.6817794175972667,0.0016829048568741684,1.9145128745611917,0.013091152336875448,0.0016829048568741684
2017-09-20,0.0003601157775934283,2.0,0.0007202315551868566,1.915891767146262,0.009360313707056258,0.0007202315551868566
2017-09-21,-0.0026831084021283758,2.0,-0.0053662168042567515,1.9056106765502647,0.009320114931033864,0.0053662168042567515
2017-09-22,0.00020050680082128736,2.0,0.0004010136016425747,1.9063748523509967,0.009427236903729626,0.0004010136016425747
2017-09-25,-0.0020467081458317438,2.0,-0.0040934162916634875,1.8985712664723655,0.008403193658295246,0.0040934162916634875
2017-09-26,0.0006023709159190815,2.0,0.001204741831838163,1.9008585546978107,0.008143058426586712,0.001204741831838163
2017-09-27,0.0038867310566681468,2.0,0.0077734621133362936,1.9156348066555653,0.008152279652386511,0.0077734621133362936
2017-09-28,0.0011992663766609013,2.0,0.0023985327533218026,1.920229519482732,0.008174178083120598,0.0023985327533218026
2017-09-29,0.003508672040790195,2.0,0.00701734408158039,1.93370443073655,0.008325860393781302,0.00701734408158039
2017-10-02,0.004329529404037302,2.0,0.008659058808074604,1.9504484911197322,0.008340770335978702,0.008659058808074604
2017-10-03,0.0021375648490806753,2.0,0.004275129698161351,1.958786911388852,0.008218990278661709,0.004275129698161351
2017-10-04,0.0011856028925354423,2.0,0.0023712057850708845,1.9634315982448585,0.007978327777410622,0.0023712057850708845
2017-10-05,0.005907841954256199,2.0,0.011815683908512398,1.986630885385705,0.00801008248369064,0.011815683908512398
2017-10-06,-0.001139499602055949,2.0,-0.002278999204111898,1.982103355179047,0.00648114255473038,0.002278999204111898
