,EWMA(0.94),GARCH11_h1,EGARCH11_h1,GJR11_h1,HAR_RV_h1
2015-09-01,0.021012430651482505,,,,0.0126808235186458
2015-09-02,0.014196082572522806,,,,0.007178921573439079
2015-09-03,0.012556807719812435,,,,-0.004657322446509349
2015-09-04,0.023588280000707673,,,,-0.0005653712573762681
2015-09-08,0.04144645080305215,,,,0.013723526733966374
2015-09-09,0.02988833388776302,,,,-0.005991079533892274
2015-09-10,0.03436817749029586,,,,-0.0009484575613770141
2015-09-11,0.04277239869352689,,,,-0.00047123573998625323
2015-09-14,0.05035189896629427,,,,-0.0006464458541077245
2015-09-15,0.06172837679038723,,,,0.003906270838021697
2015-09-16,0.06596514692415473,,,,0.0011317484346623496
2015-09-17,0.07132252864453592,,,,0.00030654122402151707
2015-09-18,0.08190370452005641,,,,0.004040307276503952
2015-09-21,0.0744234714039673,,,,-0.005168198221580544
2015-09-22,0.0660259825367053,,,,-0.012730907214297205
2015-09-23,0.025205814770759838,,,,-0.03822217202271366
2015-09-24,0.02847185352758963,,,,0.005157018212888526
2015-09-25,-0.0015603642435892129,,,,-0.028619721472479598
2015-09-28,0.0026499683121599116,,,,0.008207457676364022
2015-09-29,-0.013309442503175173,,,,0.008387084047286386
2015-09-30,0.004360084409237963,,,,0.016736814003828038
2015-10-01,-0.02676129791390522,,,,-0.022596097778679908
2015-10-02,-0.024308613119412542,,,,0.00167141081817479
2015-10-05,-0.016083867175620242,,,,0.014966959354168724
2015-10-06,-0.027946642409057865,,,,-0.0038497521815102353
2015-10-07,-0.038672846529098026,,,,-0.012651406444490337
2015-10-08,-0.03998664745873326,,,,2.8464675183387245e-05
2015-10-09,-0.036862500566764766,,,,0.0050734584324516885
2015-10-12,-0.030799482238263703,,,,0.00449702128907814
2015-10-13,-0.02342270521592113,,,,0.005063310558401202
2015-10-14,-0.022686337709744736,,,,-0.0008081072073625184
2015-10-15,-0.012284236039865226,,,,0.008427131167054847
2015-10-16,-0.015814554061903574,,,,0.002138346421211884
2015-10-19,-0.022712195419103243,,,,-0.01005374327388217
2015-10-20,-0.01712614108823518,,,,0.0029728595281420245
2015-10-21,-0.0177724187877821,,,,-0.003511795399187806
2015-10-22,-0.006651772746274182,,,,0.010351256567428524
2015-10-23,-0.01310777633005794,,,,0.0019328040140550173
2015-10-26,-0.011950708979536179,,,,0.0017000292951795115
2015-10-27,-0.041633917604298604,,,,-0.03414456235171745
2015-10-28,-0.03528714690129062,,,,0.00581052846548516
2015-10-29,-0.04417280753415517,,,,-0.004527181213225762
2015-10-30,-0.03573785381908806,,,,0.0069748055501361456
2015-11-02,-0.03454932288148935,,,,-0.0007628572056477545
2015-11-03,-0.04712198384524448,,,,-0.009393544175923835
